非凡产研,7月15日,09:30–17:30,上海漕河泾万丽酒店,https://luma.com/sh2026,免费,2026 非凡大赏 · 上海 AI 商业峰会,2026 非凡大赏 · 上海 AI 商业峰会 是由非凡产研发起的WAIC 2026 期间的线下交流活动。非凡产研 · Panel discussion。活动安排为7月15日，09:30–17:30，上海漕河泾万丽酒店,未标明,未标明,未标明,Luma,https://luma.com/sh2026,非凡产研,未标明,未标明,上海市徐汇区漕河泾新兴技术开发区虹梅路3081号,上海市徐汇区漕河泾新兴技术开发区虹梅路3081号
Impa Ventures × SEE Fund,7月16日,18:30-21:30,世博天地（详细地址报名后通知）,扫描评论区海报二维码报名,未标明,Signal Eve｜创见前夜,Impa Ventures 与 SEE Fund 在 WAIC 前夜发起的 Signal Eve，聚集 Founder、Builder 和 Investor 交换尚未成为共识的早期信号。两场 Panel 分别讨论大模型与 AI 原生应用的商业化路径，以及世界模型、仿真训练和具身智能落地，随后以一小时自由 Social 促成创业者、技术专家、投资人和产业伙伴之间的深度交流,AI Founder、Builder、Investor，以及 AI 创业者、技术专家、投资人与产业伙伴,"名字：陈思衡
背景：上海交通大学副教授；
名字：程沁源
背景：模思智能联合创始人兼 CTO；
名字：唐业辉
背景：三星大模型算法负责人；
名字：孙家琦
背景：MOTPHYS 联合创始人；
名字：刘芳甫
背景：清华大学电子工程系博士；
名字：衡量
背景：友道智途首席科学家；
名字：张穆
背景：极佳视界投融资及战略 VP；",双主题 Panel + 自由 Social,小红书,https://www.xiaohongshu.com/explore/6a54dd8e000000001101a7eb,Vibehood,07-13-20:43,未标明,上海市浦东新区世博大道1368号世博源,上海市浦东新区世博大道1368号世博源
Julie&friends,7月16日,19:30 开始,上海（报名成功后通知）,https://ycnlw8azhiz2.feishu.cn/share/base/form/shrcnVmSHX248lBK7vPdcXTwhLf,免费,WAIC Meetup · AI 创业线下交流会,WAIC Meetup · AI 创业线下交流会 是由Julie&friends发起的WAIC 2026 期间的Meetup + 闭门交流 + 交流会。Julie&friends · 闭门会议。活动安排为7月16日，19:30 开始，上海（报名成功后通知）,未标明,未标明,Meetup + 闭门交流 + 交流会,飞书,https://ycnlw8azhiz2.feishu.cn/share/base/form/shrcnVmSHX248lBK7vPdcXTwhLf,Julie&friends,未标明,未标明,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
PPIO,7月16日,18:00-20:30,上海虹口（报名后通知地址） 💰 免费（定向审核制）,https://sh.huodongxing.com/event/8866803860500,未标明,PPIO AI Builders Night,PPIO 主办，专为AI从业者打造的WAIC前夜朋友局。核心环节涵盖重磅嘉宾圆桌对谈、5位Builders开放麦及深度Networking。,未标明,未标明,Side Event,活动行,https://sh.huodongxing.com/event/8866803860500,PPIO,未标明,未标明,上海市虹口区,上海市虹口区
RTE 开发者社区,7月16日,下午场,上海世博天地,见微信公众号原文报名,免费,超音速计划 2026 · Physical AI Camp Demo Day,超音速计划 2026 · Physical AI Camp Demo Day 是由RTE 开发者社区发起的WAIC 2026 期间的Demo Day。RTE 开发者社区 · Demo Day · 16 家 Voice-First AI 硬件团队。活动安排为7月16日，下午场，上海世博天地,未标明,未标明,Demo Day,微信公众号,https://mp.weixin.qq.com/s/gPEZ0vTh-81gwEohj9niMA,RTE 开发者社区,07-10-18:00,未标明,上海市浦东新区世博大道1368号,上海市浦东新区世博大道1368号
vLLM 社区 × HAMi × 红帽,7月16日,13:30–17:40,模速空间B区多功能厅,见微信公众号原文报名,免费,vLLM Meetup：推理的边界 — 从芯片到应用的全栈进化,vLLM Meetup：推理的边界 — 从芯片到应用的全栈进化 是由vLLM 社区 × HAMi × 红帽发起的WAIC 2026 期间的Meetup。vLLM 社区 × HAMi × 红帽 · 技术分享 + 全程线上直播（线下已约满）。活动安排为7月16日，13:30–17:40，上海模速空间多功能厅,未标明,未标明,Meetup,微信公众号,https://mp.weixin.qq.com/s/tE8KP1TUmrnLWkGkz5Nswg,vLLM 社区 × HAMi × 红帽,07-13-18:04,未标明,上海市浦东新区世博大道1750号,上海市浦东新区世博大道1750号
火鸟派AI（AI Club）,7月16日,14:30–17:00,上海漕河泾,见微信公众号原文报名,¥129,世界模型：AI 理解物理世界的下一场竞赛,世界模型：AI 理解物理世界的下一场竞赛 是由火鸟派AI（AI Club）发起的WAIC 2026 期间的圆桌 + 主题分享。火鸟派AI（AI Club） · 主题分享 + 圆桌对谈。活动安排为7月16日，14:30–17:00，上海漕河泾,未标明,未标明,圆桌 + 主题分享,微信公众号,https://mp.weixin.qq.com/s/MZhRzvAdHXT8Y6ruPP5peA,火鸟派AI（AI Club）,07-11-15:37,未标明,上海市徐汇区漕河泾,上海市徐汇区漕河泾
蓝驰创投 × 硅星人 × WaytoAGI 等,7月16日,19:00–24:00,上海（地点待通知）,见微信公众号原文报名,免费,Booming Night · 世界之外,Booming Night · 世界之外 是由蓝驰创投 × 硅星人 × WaytoAGI 等发起的WAIC 2026 期间的酒会。蓝驰创投 × 硅星人 × WaytoAGI 等 · 社交酒会 + 自由交流（Dress Code：致敬你喜欢的角色）。活动安排为7月16日，19:00–24:00，上海（地点待通知）,未标明,未标明,酒会,微信公众号,https://mp.weixin.qq.com/s/IwNHOQYX5H_2BVYI9KrLpA,蓝驰创投 × 硅星人 × WaytoAGI 等,07-03-09:06,未标明,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
AGI Villa,7月17日,11:00–17:00,上海（报名后可查看地址）,见微信公众号原文报名,¥99,GO SUMMIT,GO SUMMIT 是由AGI Villa发起的WAIC 2026 期间的圆桌 + 主题分享。AGI Villa · 主题分享 + 圆桌对话。活动安排为7月17日，11:00–17:00，上海（报名后可查看地址）,未标明,未标明,圆桌 + 主题分享,微信公众号,https://mp.weixin.qq.com/s/Sxl54U7szSP7L7g7ijHLWA,AGI Villa,06-20-21:47,未标明,上海市浦东新区世博片区,上海市浦东新区世博片区
AI 闹,7月17日,20:00 开始,梧桐路露台酒吧（报名成功后通知）,见微信公众号原文报名,免费,AI 闹航海夜 · WAIC 2026 特别版,AI 闹航海夜 · WAIC 2026 特别版 是由AI 闹发起的WAIC 2026 期间的线下交流活动。AI 闹 · 主题演讲 + 投票 + 自由交流（着蓝色或白色）。活动安排为7月17日，20:00 开始，梧桐路露台酒吧（报名成功后通知）,未标明,未标明,未标明,微信公众号,https://mp.weixin.qq.com/s/a7KuLIKKK62Xzr9eKcbpBg,AI 闹,07-08-13:14,未标明,上海市黄浦区梧桐路,上海市黄浦区梧桐路
AI 异类弗兰克,7月17日,19:00–22:00,浦东新区如意摩登滋味小馆（距 WAIC 场馆 600 米）,扫描微信公众号原文海报二维码报名,免费,AI穿越者之夜：不止穿越周期，还想预测未来,这是一场把 AI 行业复盘、现场观察和未来预测放进同一个夜晚的主题脱口秀。三段内容从过去踩过的坑聊到当下最新进展，再以开放麦邀请参与者发表自己的判断，适合在轻松氛围里听真实经验、也愿意上台分享的人。,未标明,未标明,主题脱口秀 + 开放麦,微信公众号,https://mp.weixin.qq.com/s/VK0hZGLT4wsMehSAWpJ0Fw,AI 异类弗兰克,07-08-18:17,未标明,上海市浦东新区,上海市浦东新区
AltNext × 互影 × 405游局 × 上影新视野基金,7月17日,20:30 开始,上海市静安区巨鹿路,评论区回复“AltNext游乐园”报名,未标明,WAIC After Party｜AI 互动娱乐灵感之夜,AltNext 联合互影、405游局和上影新视野基金发起的 AI 互动娱乐灵感之夜，把 WAIC 白天的高强度议程切换成轻松社交。现场不设演讲和固定日程，适合 AI 与互动娱乐领域的从业者、创作者在巨鹿路喝一杯、交换灵感并认识潜在合作伙伴,AI + 互动娱乐领域从业者与创作者,未标明,Afterparty + 自由交流,小红书,https://www.xiaohongshu.com/explore/6a560bcd000000000f01f1f5,AltNext,07-14-18:13,未标明,上海市静安区巨鹿路,上海市静安区巨鹿路
